product_id,product_name,product_brand,product_category,model_year,product_specifications,product_price(£),product_image,,,,,,,,,,,,,,,,,,,,,
Graphics Chipset Brand	AMD
Graphics Card Description	Radeon Vega
Graphics RAM Type	Shared
Graphics Card Interface	Integrated
Number of USB 2.0 Ports	1
Number of USB 3.0 Ports	1
Number of HDMI Ports	1
Optical Drive Type	None
Operating System	Windows 10 Home
Supported Software	Microsoft
Average Battery Life (in hours)	7 hours
Lithium Battery Energy Content	57.4 watt_hours
Lithium Battery Packaging	Batteries contained in equipment
Number Of Lithium Ion Cells	1",£599.99,Huawei Matebook D 14-Inch Laptop - (Mystic Silver).jpg,,,,,,,,,,,,,,,,,,,,,
,"ASUS Chromebook C423 14 Inch HD Notebook (Grey) (Intel Celeron N3350 Processor, 4 GB RAM, 32 GB eMMC, Chrome OS)",ASUS,Laptop,Jan 2019,"Brand name	ASUS
Item Weight	1.2 Kg
Product Dimensions	22.8 x 32.2 x 1.6 cm
Batteries:	1 Lithium ion batteries required. (included)
Item model number	C423NA-BV0078
Series	C423NA-BV0078
Color	Silver
Form Factor	Laptop
Screen Size	14 inches
Maximum Display Resolution	1366 x 768 pixels
Processor Brand	Intel
Processor Type	Celeron N3350
Processor Speed	1.1 GHz
Processor Count	2
RAM Size	4 GB
Memory Technology	DDR4
Maximum Memory Supported	8 GB
Hard Disk Technology	Mechanical Hard Drive
Hard Drive Interface	Serial ATA
Graphics Coprocessor	Intel HD Graphics 500
Graphics Chipset Brand	Integrated
Graphics Card Description	Integrated
Graphics RAM Type	72-Pin EDO SIMM Memory
Graphics Card Interface	Integrated
Wireless Type	802.11 a/b/g/n/ac
Number of USB 3.0 Ports	5
Optical Drive Type	None
Operating System	Chrome OS
Lithium Battery Energy Content	38 watt_hours
Lithium Battery Packaging	Batteries contained in equipment
Number Of Lithium Ion Cells	2",£199.00,ASUS Chromebook C423 14 Inch HD Notebook (Grey).jpg,,,,,,,,,,,,,,,,,,,,,
,"HP Stream 14-cb007na 14 Inch Laptop, (Aqua Blue) (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC, Office 365 and 1 TB OneDrive Cloud Storage, 1 Year Subscription Included , Windows 10 Home)",HP,Laptop,Jun 2018,"Brand name	HP
Item Weight	1.26 Kg
Product Dimensions	22.6 x 33.7 x 1.8 cm
Item model number	3RN80EA#ABU
Series	Stream 14-AX007NA 3RN80EA
Color	Aqua Blue
Form Factor	Laptop
Screen Size	35.6 centimetres
Screen Resolution	1366 x 768
Maximum Display Resolution	1366 x 768
Processor Brand	Intel
Processor Type	Celeron
Processor Speed	1.6 GHz
Processor Count	2
RAM Size	4 GB
Computer Memory Type	DDR3L-1600 SDRAM
Hard Drive Size	32 GB
Hard Disk Technology	eMMC
Graphics Coprocessor	HD Graphics
Graphics Card Description	Intel HD Graphics 400
Connectivity Type	bluetooth
Wireless Type	Bluetooth
Number of USB 2.0 Ports	1
Number of HDMI Ports	1
Optical Drive Type	No
Hardware Platform	PC
Operating System	Windows 10 Home
Supported Software	Microsoft Office 365
Average Battery Life (in hours)	10.45 hours
Lithium Battery Energy Content	41 watt_hours
Lithium Battery Packaging	Batteries contained in equipment",£189.99,"HP Stream 14-cb007na 14 Inch Laptop, (Aqua Blue).jpg",,,,,,,,,,,,,,,,,,,,,
,"Acer Travelmate P259-G2-M 15.6-Inch HD LED/LCD Notebook - (Black) (Intel I5-7200U, 4 GB RAM, 128 GB SDD, Windows 10 Pro) ",Acer,Laptop,2017,"Brand name	Acer
Item Weight	2.2 Kg
Product Dimensions	38.2 x 25.9 x 3 cm
Batteries:	1 Lithium ion batteries required. (included)
Item model number	NX.VEPEK.008
Color	Black
Form Factor	Notebook
Screen Size	39.62 centimetres
Screen Resolution	1366 x 768 pixels
Maximum Display Resolution	1366 x 768 pixels
Processor Brand	Intel
Processor Type	Core i5
Processor Count	2
RAM Size	4 GB
Hard Drive Size	128 GB
Hard Disk Technology	SDD
Graphics Chipset Brand	Intel
Number of USB 2.0 Ports	1
Number of USB 3.0 Ports	3
Number of HDMI Ports	1
Optical Drive Type	DVDSM
Operating System	Windows 10 Pro
Average Battery Life (in hours)	5.5 hours
Lithium Battery Energy Content	41.4 watt_hours
Lithium Battery Packaging	Batteries contained in equipment",£437.99,Acer Travelmate P259-G2.jpg,,,,,,,,,,,,,,,,,,,,,
,"Acer Travelmate B118-RN 11.6-Inch FHD Convertible Notebook - (Black) (Intel N4200, 4 GB RAM, 64 GB eMMC, Windows 10 Pro) ",Acer,Laptop,2017,"Brand name	Acer
Item Weight	1.5 Kg
Product Dimensions	21.1 x 29.1 x 2.3 cm
Batteries:	1 Lithium ion batteries required. (included)
Item model number	NX.VG0EK.004
Series	Travelmate SPIN B1 B118-RN-P9KY
Color	Black
Form Factor	Convertible Notebook
Screen Size	29.46 centimetres
Screen Resolution	1920 x 1080 pixels
Maximum Display Resolution	1920 x 1080 pixels
Processor Brand	Intel
Processor Type	Pentium
Processor Speed	1100 MHz
Processor Count	4
RAM Size	4 GB
Hard Drive Size	64 GB
Hard Disk Technology	eMMC
Graphics Card Description	HD Graphics 505
Number of USB 2.0 Ports	2
Number of USB 3.0 Ports	1
Number of HDMI Ports	1
Optical Drive Type	No
Operating System	Windows 10 Pro
Supported Software	Microsoft Office 2016 Ready
Average Battery Life (in hours)	12 hours
Lithium Battery Energy Content	48 watt_hours
Lithium Battery Packaging	Batteries contained in equipment
 	 
